comment,rank
"맛있었는데
양이 많아서 
그러는지 
배터지는줄
그런데 닭의 냄새가
좀 많이나는 편입니다","
맛
★
3
양
★
5
배달
★
5
"
"소스를 따로 선택해야 하는지 모르고
기본소스가 있고 그 후에 더 찍어 먹고 싶은걸 추가하는 줄 알고 시켰다가
엥 ? 이게 뭐야 했는데 ㅎㅎㅎ 자세히 보니 소스를 선택해야 했다는요 아들이 닭강정 닭강정 노래 불러서 부랴부랴 정신없이 시켜서 놓친부분이더라고요 .. 헌데 또 6살 아들 먹기에는 달던 맵던 자극적인 소스 없이 그냥 온 닭강정 잘 먹었네요~ 자세히 읽지 않고 주문한건 미스였지만 오히려 소스 안발라져서 아들도 잘먹고
저는 집에 있는 칠리소스에 찍어 아주 잘 먹었고만요~ 중자 시켰는데 아들이랑 저랑 둘이 먹기 딱이었네영~~","
맛
★
5
양
★
5
배달
★
5
"
양념말고 간장 먹어봤는데 역시 맛있었다,"
맛
★
5
양
★
5
배달
★
5
"
맛있게잘먹었어요  양은그냥적당했어요,"
맛
★
4
양
★
3
배달
★
4
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
오랜만에 맛있는 닭강정 먹었네요..,"
맛
★
4
양
★
4
배달
★
4
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
4
배달
★
5
"
소스가 생각보다 달콤하네요! 떡이 정말 쫄깃하고 맛있어서 다음엔 떡을 추가해서 시켜야겠어요.,"
맛
★
4
양
★
5
배달
★
5
"
대짜 인데...양이 생각보다 너무 작았습니다...,"
맛
★
3
양
★
1
배달
★
5
"
역시 맛있었어요ㅎㅎ,"
맛
★
5
양
★
5
배달
★
5
"
야들야들하고 너무 맛있어요!,"
맛
★
5
양
★
5
배달
★
5
"
배달굉장히느리네요 주문한지 1시간30분째인데,"
맛
★
1
양
★
1
배달
★
1
"
짜요. 소스가 잡맛이 난다고 해야하나. 재주문은 안할거 같음요,"
맛
★
3
양
★
4
배달
★
4
"
빠르고 맛있어요!! 딱 생각하던 양념 스타일이라 아주 만족했어요 ㅠㅠ👍 잘 먹었습니다!! 그리구 파채추가 강추,"
맛
★
5
양
★
5
배달
★
5
"
닭강정하면 여기 밖에 안 시켜먹어요!! 넘 쫀맛 ㅠ,"
맛
★
5
양
★
5
배달
★
5
"
"너무 맛있었어요 ㅎㅎ다만 순한맛도 엄청 맵내요 
참고 하시면 좋을것 같아요!","
맛
★
5
양
★
5
배달
★
5
"
"맛이.. 나쁘진 않은데요.. 뭐랄까..
솔직히 이때까지 먹은 강정은 보통 좀 단맛이 많았던 것 같았는데, 여기는 맛이 조금 짰어요.
강정 특유의 단 맛이 조금 살아있었으면 더 좋았지 않았나 싶어요 ㅎㅎ","
맛
★
3
양
★
4
배달
★
5
"
좋아여 간장보단 순한맛이 더 맛나요 담엔 매운맛먹고픔,"
맛
★
5
양
★
5
배달
★
5
"
닭강정이 식어도 딱딱하지 않고 잡맛도 없고 아주 좋고 배달도 빨랐어요,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
"배달 예상 시간보다 훨씬 빨리왔구
맛도 좋아요!
소스 딱 제가 좋아하는 스타일이네용ㅋㅋ","
맛
★
5
양
★
5
배달
★
5
"
양도 엄청 많고 맛있었습니다!!!,"
맛
★
5
양
★
5
배달
★
5
"
항상 따뜻하고 다양한 맛으로 시켜서 맛있게 잘 먹고 있어요!! 배달도 매번 빨라서 바로바로 먹으니까 너무 좋네요ㅎㅎ 감사합니다!,"
맛
★
5
양
★
5
배달
★
5
"
"완전빠르구요
존맛이네요 짱","
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었어요,"
맛
★
5
양
★
5
배달
★
5
"
"오늘은 조금 쓴 맛?이 느껴졌지만 양은 여전히 많고 맛있게 먹었습니다 
닭강정은 여기가 가성비 최고에요","
맛
★
4
양
★
5
배달
★
5
"
옛날엔 자주먹었는데 요즘은 바빠서 잘 못먹었는데 오랜만에 시켜서 잘먹었네요 감사합니다.,"
맛
★
5
양
★
5
배달
★
5
"
오랜만에 먹으니까 더 맛있네여,"
맛
★
5
양
★
5
배달
★
5
"
그냥 먹어도 맛있는데 파채추가하니까 더맛있음,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘먹을게요.^^,"
맛
★
5
양
★
5
배달
★
5
"
집가까워서 그냥가지러갓는데 아주 좋아용. 더 빠르고 낭낭하게 들고와서 잘먹엇습니다. 언제 먹어도 맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
"고기가 살이 두툼하고 좋았어요
양은 보통이에요 
종이케이스가 작아서 많이보이는 효과
소스는 마트에서 파는 양념치킨 소스맛이에요
그 특유의 저렴한 듯한 양념소스.. 
배달용기는 변경하셨으면 좋겠어요
은박지 밖으로 소스가 다 새서
종이에 너무 많이 묻었더라구요
재활용 버리려면 다 물로 씻어야하는데 아주 번거로웠어요","
맛
★
3
양
★
3
배달
★
5
"
잘먹고있어요 같이 주문했던 파채가 빠졌어요 다음엔 잘챙겨주세요,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 먹었는데 추가한 소스가 안왓어요,"
맛
★
5
양
★
5
배달
★
5
"
사진을 못찍었는데 맛있었어요!!,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다~,"
맛
★
5
양
★
5
배달
★
5
"
"감사합니다. 
너무 맛있게 잘먹었습니다.
날이 많이 춥습니다.
사장님 감기 조심하시구
번창하세요!","
맛
★
5
양
★
5
배달
★
5
"
양도 푸짐 맛도 맛있🙋‍♂️,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
진짜 닭강정 맛집입니다. 앞으로 닭강정은 여기서민 먹겠습니다 큰형님!!,"
맛
★
5
양
★
5
배달
★
5
"
"양이 어마무시하게 많네요
맛있구요~~두번째 먹는데 계속 먹고 싶네요~~맛집으로 강력추천!!!","
맛
★
5
양
★
5
배달
★
5
"
감사합니다 항상 잘 먹고 있습니다,"
맛
★
5
양
★
5
배달
★
5
"
양이 많고 맛도 좋음,"
맛
★
5
양
★
5
배달
★
5
"
"양도 엄청 많고 정말 맛 있네요
👍","
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다ㅎㅎ 양이 엄청 많네요,"
맛
★
5
양
★
5
배달
★
5
"
딱 생각했던 옛날 닭강정이네요ㅎㅎ 맛있어서 늦은밤이어도 열심히 먹엇어요ㅋㅋㅋㅋ,"
맛
★
5
양
★
5
배달
★
5
"
맵찔이라 그런지 살짝 매콤했는데 그래서 더욱 맛있었어요! 양도 많은데 가격도 괜찮아서 항상 시켜 먹기 좋네용 ㅎㅎ 잘 먹었습니다~,"
맛
★
5
양
★
5
배달
★
5
"
배달도 빠르고  생각보다 엄청 많고 맛있었어요,"
맛
★
5
양
★
5
배달
★
5
"
전에 시키고 맛있어서 이번엔 간장맛 했는데 이거도 맛나네용 ㅋㅋ 역시 양도 많고 맛있게 잘 먹었습니다! 닭도 맛있지만 떡이 진짜 맛있어요! 앞으로도 닭강정은 여기서만 시킬 거 같네용 ㅋㅋㅋ,"
맛
★
5
양
★
5
배달
★
5
"
맛있었고 양 많아요,"
맛
★
5
양
★
5
배달
★
5
"
맛나게 잘 먹었습니다. 갑사합니다,"
맛
★
5
양
★
5
배달
★
5
"
ㅇ삿있어요 양도 엄청 많았어요^^,"
맛
★
5
양
★
5
배달
★
5
"
"닭똥집도 먹고싶어서 닭강정똥집 세트로 시켰는데 똥집 양은 좀 적은것 같아요.
그래도 맛은 있으니 별점은 5점이요~","
맛
★
5
양
★
4
배달
★
4
"
진짜배달비도없고 사장님!!!!! 감사합니다!! 너무맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
양도 많고 생각보다 맛있습니다. 배달시간은 매우 빠릅니다,"
맛
★
5
양
★
5
배달
★
5
"
맛있습니다~~~~~,"
맛
★
5
양
★
5
배달
★
5
"
양도 많고 맛있어요! 배달도 빨랐고 너무 맛있게 먹었습니당!!!,"
맛
★
5
양
★
5
배달
★
5
"
굿ㅇㅇㅇㅇㅇ....,"
맛
★
4
양
★
2
배달
★
3
"
👍😄👍👍👍👍와우 굿,"
맛
★
5
양
★
5
배달
★
5
"
배달도 엄청 빠르고 맛도 좋았어요👍,"
맛
★
5
양
★
5
배달
★
5
"
닭 누린내 안나고 똥집도 맛있고 치킨도 꼬소하이 맛있네요,"
맛
★
5
양
★
5
배달
★
5
"
오랜만에 시킨거지만 역시 맛있게 먹었어요~,"
맛
★
5
양
★
4
배달
★
5
"
처음 시켜보는데 배달도 엄청 빨랐고 양도 많아서 맛있게 잘 먹었습니다! 다음에 또 시킬게요. 감사합니다~~~~,"
맛
★
5
양
★
5
배달
★
5
"
순한맛인데도 살짝 매콤한 맛이 있어서 좋았어요! 똥집이 좀 질겨서 이가 아프지만 또 그것도 그것대로 매력이 있네요 다음에 또 시켜먹을게요~,"
맛
★
5
양
★
5
배달
★
5
"
양도 정말 푸짐하고 맛있어요 ^^ 또 주문할게요 👍🏻,"
맛
★
5
양
★
5
배달
★
5
"
잘먹었어요 ~~~~~,"
맛
★
4
양
★
4
배달
★
5
"
"사장님 최고!!
떡사리 먹고싶어서 주문햇는데 
진짜 떡사리 마니 주심","
맛
★
5
양
★
5
배달
★
5
"
저번에 먹은거 또 시켜서 먹었어요 ㅋㅋ 맵게생겼는데 하나도 안맵고 밥반찬으로도 딱 좋아요,"
맛
★
5
양
★
5
배달
★
5
"
맛있어요~~~~~~~,"
맛
★
5
양
★
5
배달
★
5
"
바삭바삭하니 맛있어여,"
맛
★
5
양
★
5
배달
★
5
"
👍👍👍👍👍👍👍👍👍👍,"
맛
★
5
양
★
5
배달
★
5
"
떡사리 추가 정말 엄청 많네요~ㅋㅋㅋ 서비스 맛감자까지 맛있게 먹었습니다!,"
맛
★
5
양
★
5
배달
★
5
"
가격대비 양은 훌륭,"
맛
★
5
양
★
5
배달
★
5
"
"배달비 극악, 기름 잘 안갈았는지 닭강정 색깔이 거무튀튀
양념 닭강정은 쩐내 남","
맛
★
1
양
★
1
배달
★
1
"
배달이 10분만에 와서 진짜 놀랐어요 !! 간장맛+매운맛소스 조합 완전 추천합니당 👍,"
맛
★
5
양
★
5
배달
★
5
"
이번에도 맛있게 잘먹었어요ㅎㅎ,"
맛
★
5
양
★
5
배달
★
5
"
"늘 잘먹고있어요 파닭 처음먹어봤는데 
짱맛있네여 ^~^","
맛
★
5
양
★
5
배달
★
5
"
"맛있게 잘먹었습니다 

양도많고 배달빠르고 좋았습니다 감사합니다","
맛
★
5
양
★
5
배달
★
5
"
소짜인데 양이 많아서 다 못먹었어요 매콤하게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
배달도 빠르고 맛있게 잘 먹었습니다^^,"
맛
★
5
양
★
5
배달
★
5
"
양도 많고 맛도 좋아요 배달도 빠르네요,"
맛
★
5
양
★
5
배달
★
5
"
"맛과 양 서비스 너무 좋았습니다!!!

다만 같이온 무 상태가 조금 아쉬웠습니다......","
맛
★
5
양
★
5
배달
★
5
"
양도 진짜 엄청 많이 주시고 영수증에 글 보고 웃었습니다. 너무 맛있었어요 자주 시킬게요!!,"
맛
★
5
양
★
5
배달
★
5
"
엄청 맛있어요.,"
맛
★
5
양
★
5
배달
★
5
"
잘 먹었숩니다아.,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 먹었어요.,"
맛
★
5
양
★
5
배달
★
5
"
맛이 너무 없고 기름이 너무*  못먹고 다 버렸네요,"
맛
★
1
양
★
1
배달
★
1
"
맛은 그냥 쏘쏘 양은 적당하네요,"
맛
★
3
양
★
4
배달
★
4
"
👍👍👍👍👍,"
맛
★
5
양
★
5
배달
★
5
"
"맛있게 잘 먹었는데, 요청사항에 치킨무 빼달라고 했는데 넣어주셨네요 ㅠㅠ","
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
처음 시켜봤는데 맛있었어요:) 양도 둘이 먹기에 적당했습니다!,"
맛
★
5
양
★
5
배달
★
5
"
엄청 맛있었어요! 양도많고 맛도 좋았습니다 :),"
맛
★
5
양
★
5
배달
★
2
"
처음 시켰는데 맛있어요! 달달매콤? 사알짝매콤정도. 양도 꽤있고 배달도 예상시간보다 빨랐어요. 다만 닭강정 호일포장을 위에까지 덮어주셨으면 위생면에서 더 좋을것같아요. 박스에 양념과 고기가 닿아서 조금 찝찝했어요. 이부분만 개선해주시면 정말 좋을것같아요. 재주문의사 있습니다!,"
맛
★
5
양
★
5
배달
★
5
"
"처음 주문해본 우리동네 닭강정입니다~
배송시간은 빠르지도 느리지도 않은 적당한 시간이 걸렸구요~
포장 깔끔하고 닭강정 맛도 괜찮았어요~
같이 주문한 감자 튀김도 좋았습니다.
올림픽경기 보면서 맛있게 잘먹었습니다.
이상 닭강정 #식후감 간단히 올려봅니다.","
맛
★
5
양
★
5
배달
★
5
"
"음 생각보다 배달이 너무 오래걸렸습니다.
떡도 튀긴다음에 다음날 전자레인지 돌려서 먹는 것처럼
쫄깃하지가 않아서 턱이 아팠습니다.. 떡사리 추가 안하길 잘했네요.
강정자체는 무난합니다. 순한맛이여도 살짝 매콤했네요.
다음날 화장실.. ㅎ 
참고로 기본 무 제공 콜라 제공 없습니다~ 
혹시나하고 추가했는데 다행이였네요

전체적인 가격에 비해 그럭저럭~ 무난무난 합니다","
맛
★
3
양
★
4
배달
★
2
"
닭강정은 여기가 제일 맛있는거같아요,"
맛
★
5
양
★
5
배달
★
5
"
서비스 감자도 완전 잘먹었습니다 ㅎㅎ 양도 완전 많고 맛있어요!,"
맛
★
5
양
★
5
배달
★
5
"
추억에 먹던 분식집 닭강정 생각나는 맛,"
맛
★
5
양
★
5
배달
★
5
"
"닭강정 집은 여기가 최고입니다
이렇게 양 많고 맛있는 집은 처음 봅니다
다음에 또 주문할게요.","
맛
★
5
양
★
5
배달
★
5
"
너무너무 너무맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
기대이상으로맛있었어여,"
맛
★
5
양
★
5
배달
★
5
"
치킨이 바삭하고 맛있어요~,"
맛
★
5
양
★
5
배달
★
5
"
오늘 시킨 치킨 색깔은 너무 까무 잡잡하고 어떻게 된건지?  많이 식어서 오고  다시 안 시킵니다.,"
맛
★
3
양
★
4
배달
★
5
"
잘먹었습니당 맛나요,"
맛
★
5
양
★
5
배달
★
5
"
맛있네용 매콤하고 안느끼해요 서비스 감자도 맛있어요 또 시킬께요!,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었어요! 파채랑 같이 먹으니까 잘 어울리네요,"
맛
★
5
양
★
5
배달
★
5
"
양도 많고 맛있네요.. 사장님 무더운 날씨에 감사합니다.. 잘 먹겠습니다!!,"
맛
★
5
양
★
5
배달
★
5
"
너무 맛있어요 가성비도 좋고 양도 작은 것으로 시킬 수 있어서 좋은거같아요 글고 양념이 딱 양념치킨 하면 생각나는 그 양념이라 너무 맛있어요 냄새로 상상되는 맛이랑 직접 먹었을때 맛이 다를 때가 있잖아요? 근데 여긴 상상 그 맛이에요 그리고 남기면 다음 날에 에어 프라이기 돌려서 먹으면 진짜 맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
닭강정을 굳이 배달 시켜 먹을 필요가 있나 했는데 양도 많고 고기도 실하고 추천해요!!!! 존맛!!!!!!!!! 배달도 빨리와요!!!,"
맛
★
5
양
★
5
배달
★
5
"
양이 많아서 저녁에 시켜서 다음날 점심까지 먹엇네요 맛잇게 잘 먹엇습니다!!,"
맛
★
5
양
★
5
배달
★
5
"
맛있어요~~~~~~~,"
맛
★
5
양
★
5
배달
★
5
"
양도 딱 적당하고 맛있습니다!,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다~,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다. 더운데 고생하세요~,"
맛
★
5
양
★
5
배달
★
5
"
"사장님,,맛이 너무 있어버리잖아요~~","
맛
★
5
양
★
5
배달
★
5
"
진짜맛잇엇어요!!  가깝고싸고 최고~,"
맛
★
5
양
★
5
배달
★
5
"
초복이라그랬나 양이 평소보다 작은거같기도하거ㅠㅠ,"
맛
★
5
양
★
5
배달
★
5
"
잘먹었습니다 많이파세요,"
맛
★
5
양
★
3
배달
★
5
"
맛있어요~~~~~~~,"
맛
★
5
양
★
5
배달
★
5
"
닭강정이 넘 고소하고 맛있네여~^^ 잘먹었어요~,"
맛
★
5
양
★
5
배달
★
5
"
맛나요~~~~~~~~~,"
맛
★
3
양
★
3
배달
★
3
"
👍👍👍👍👍,"
맛
★
5
양
★
5
배달
★
5
"
"사장님 센스 대박!!
통화할때 옆에서 아기가 쫑알거리는 소리 듣고 
감튀 다섯개 아기 주라고 서비스로 보내주심
근데 아가는 자고있으니 제가 먹도록 ㅋㅋㅋㅋ
감사합니다 
저번에 배달 안돼서 신길점 주문했는데
흠... 구로점이 조아요 ㅋㅋㅋ","
맛
★
5
양
★
5
배달
★
5
"
너무 맛있게 먹었어요ㅠㅠㅜ 닭강정은 이제 여기서 먹으려구요ㅎㅎ 혼자 먹기는 양이 좀 많앗네용ㅋㅋ,"
맛
★
5
양
★
5
배달
★
5
"
"사장님, 매번 잘먹다가 이번에 닭강정 한입먹고 너무 잡내가 심해서 구역질하고 통채로 버렸어요.
착한가격은 좋은데 닭고기 품질 조금만 신경써주셨으면 좋겠어요","
맛
★
2
양
★
5
배달
★
5
"
똥집튀김이 먹고 싶어서 주문한거였는데 닭강정이 역시 맛있네요ㅋㅋㅋ실수인건지 서비스인건지 파채도 하나 더 들어 있고 치즈스틱도 추가돼있던데 맛있게 잘 먹었습니다^.^ 비 안오는 날 꼭 재주문 할게요~,"
맛
★
5
양
★
5
배달
★
5
"
떡추가를 한거지만 상자 터지는줄 알았어요ㅋㅋㅋ양도 많은데 늦은 시간에 먹어가니까 금방 배불러서 낼 이어서 먹을려고요~ 치킨은 후라이드파이지만 가끔 강정이 땡길때 먹기 딱 좋네요,"
맛
★
5
양
★
5
배달
★
5
"
혼자 먹어도 양이 많아요 맛은 쏘쏘,"
맛
★
4
양
★
4
배달
★
4
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
오랜만에 먹는데 맛있어요~,"
맛
★
5
양
★
5
배달
★
5
"
닭강정이아니라 양념치킨인데요?,"
맛
★
4
양
★
4
배달
★
5
"
맛있게 잘 먹었습니다.,"
맛
★
5
양
★
5
배달
★
5
"
항상 맛있게 잘먹고 있습니다,"
맛
★
5
양
★
5
배달
★
5
"
"77ㅓ억

더 바랄게 없습니다
항상고맙습니다","
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
"매콤한 맛이 자꾸 끌리네요ㅎ
맛있게 잘먹었습니다","
맛
★
5
양
★
5
배달
★
5
"
배달도 빠르고 너무 마싯어용 ㅠㅠ,"
맛
★
5
양
★
5
배달
★
5
"
양도 많고 맛도 최곱니다ㅎ,"
맛
★
5
양
★
5
배달
★
5
"
오늘도 맛있게 먹었습니다!,"
맛
★
5
양
★
5
배달
★
5
"
양도 많고 맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
맛있고 배달도 빠르고 엄청 좋아요.,"
맛
★
5
양
★
5
배달
★
5
"
언재나 맛있게 먹고있습니다.요청사항 항상 감사합니다,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘먹었습니다!!,"
맛
★
5
양
★
5
배달
★
5
"
닭강정 맛있어요~ 떡사리도 많이 들어서 별미!!,"
맛
★
5
양
★
5
배달
★
5
"
양이 너무 적어요..감자튀김까지 시켰었는데 그래도 닭강정맛집은 못 끊는다는거! 맛있게 먹었습니다.❤,"
맛
★
5
양
★
3
배달
★
5
"
"맛있게 잘 먹었습니다 ㅎㅎㅎ
배달을 빨리 해주셔서 얼른 먹느라 사진은 못찍었어요 ㅠ","
맛
★
5
양
★
5
배달
★
5
"
사장님 너무 배부르고 맛있게 먹었어요!! 음식받아보구 메모해주신거 보고 엄청 웃었어요ㅎㅎ 감사히 잘먹었습니다!! 감사합니다♡♡,"
맛
★
5
양
★
5
배달
★
5
"
최고 최고  여기서만 닭강정먹어요^^,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
후라이드도 먹어보고 양념도 먹어봤는데 양념 진짜 맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
밑에 리뷰에 오래된잡내 난다길래 아니겠지하고 시켰는데 당첨이네요 아놔 맨위에 있는 치킨은 ㄱㅊ았는데 밑으로갈수록 시킨지 하루된치킨을 전자레인지에 돌려먹은맛,"
맛
★
2
양
★
4
배달
★
5
"
"너무맛있게 먹었어요
여기만 먹어요","
맛
★
5
양
★
5
배달
★
5
"
맛있어서 리뷰남깁니다! 닭똥집 양이 좀 부족해서 살짝 아쉬웠어요~,"
맛
★
5
양
★
4
배달
★
5
"
잘먹었어요 열글자 ㅇㅇㅇ,"
맛
★
5
양
★
5
배달
★
5
"
오늘도 요청사항 들어주셔서 감사핮니다. 맛있게 먹었습니다. 최고!,"
맛
★
5
양
★
5
배달
★
5
"
잘먹었습니니다 열글자,"
맛
★
5
양
★
5
배달
★
5
"
그냥저냥 닭강정맛이네요,"
맛
★
3
양
★
3
배달
★
3
"
"맛 양 배달
솔직하게 완전 만족은아니지만 먹고 후회는 없을거같습니다 
매운맛을 추천드리는게 제가 매운걸 정말 못먹는편인대
그래도 약간 매콤하다뿐이지 그렇게 안맵습니다 
오히려 매운 맛이 감칠맛을 살려줘 엄청 당기네여
아쉬운점은 물엿비율이 좀높게 잡으시는지 
강정이란 느낌보다 순살 치킨느낌이 아주 약간 나네요
설탕 비율을 좀 높이시고 물엿비율을 낮추시면
좀더 강정이라는 느낌이 잘살거같습니다
현재는 코팅이라기보다 양념에 버무린 느낌이 강하지만  맛은 좋습니다","
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다~,"
맛
★
5
양
★
5
배달
★
5
"
무난하고 맛있어요ㅎㅎ,"
맛
★
5
양
★
5
배달
★
5
"
"이전 닭똥집 맛있게먹고 또 먹고싶어서 닭똥집만 요청 드렸는데 요청 들어드셔서 감사합니다 ㅎㅎ
허겁지겁 먹어서 사진도 없네요 ㅠㅠ","
맛
★
5
양
★
5
배달
★
5
"
딱 원하던 맛이였습니다. 맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
"배달도 생각보다 빨리오고 맛있었어요:)
근데 아무리 봐도 이게 중자가 맞을까요 사장님? ㅋㅋㅋ
다들 양이 많다는데 왜 전 아니죠 ㅠㅠ","
맛
★
5
양
★
3
배달
★
5
"
전에 너무 맛잇게 먹어서 또 주문햇는데 역시 최고에요:),"
맛
★
5
양
★
5
배달
★
5
"
진심 맛있어요 야간에 이정도맛은 계속 배달 시킬거 같아요,"
맛
★
5
양
★
3
배달
★
5
"
맛있게.잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
존맛인다자자다다ㅡㄴ느,"
맛
★
5
양
★
5
배달
★
5
"
"가격저렴하고 평점 좋길래 배송비 7천원 주고 시켰더니
닭 오래된 잡내나서 3점먹고 음식 봉투행 배달은
겁나빨리옴 닭정육 관리좀 잘해주셔서 저같이 피해보는 사람 없었으면하네요 진심 최악이었음","
맛
★
1
양
★
4
배달
★
5
"
