ratings,reviews
1,리커버리는 개뿔 그냥 거품 스펀지 같네요 절대 사지 않아도 됨
1,태어나서 처음으로 해본 건데 피지가 하나도 안 나오네요
1,저하고는 안 맞는 듯 요 다른 분 선물 줬네요
1,돈 아까움 설치하고 양면테이프 바로 떨어져서 같이 보내준 거 설치 그래도 반대쪽은 또 떨어짐ㅠ 사실 돈 진심 아까움
1,처음으로 입었는데도 보풀이 너무 많이 생겨요ㅜ
1,사이즈가 안 맞아서 붙일 수가 럾었음
1,너무 작아요ㅡ 불편해서 안 입어요 ㅠ
1,가격만큼만 하는 것 같네요
1,배송도 그저 그렇고 색상이 품절됐음 품절 표시를 해 놔야 하는데 여긴 그런 것도 없고 전화로 품절됐다고 연락 와서 색상 바꾸고 색상을 바꿨는데 그것도 품절됐다고 연락 오고 일처리가 별로였어요 여기서 이제 구매하고 싶은 마음이 없음
1,사지 마세요ㅜ저렴한 이유가
1,너무 별로예요 절대 구매하지 마세요 몇 번을 배달됐냐고 전화를 했는지 몇 천 원 더 싼 데서 하려다가 열받아서 기본이 안 된 곳입니다
1,잘못 구매했어요
1,ㅅㅈ느ㄴ돈 날렸어요
1,가격 대비 별로예요
1,상품 포장이 바뀐 건가요
1,냄새가 많이 나요ㅜㅜ
1,바닥 부분은 플라스틱 중간 봉은 나사가 들어갈 자리에 구멍이 안 뚫려있으면 다른 중간 봉은 휘어있음 전체적으로 가벼움 좋은 나무는 아니면 싼 맛
1,배송 빨랐는데 포장상태별로
1,맛이 너무 별로였어요 가격이 저렴한 탓도 있겠지만 저는 버렸어요 ㅠㅠ
1,쉽게 먹기 편한 거 말고 맛도 양도 질도 다 별로예요 게장을 먹는다는 느낌보다 양념장으로만 느껴지네요 배송 엉망이었고 이거야 뭐 실수가 있을 수 있으니 근데 상품은 궁금증에 한 번은 먹을까 몰라도 두 번은 안 먹을래요
1,잘 갈라지고 접착력이 좋지 않음
1,지문이 계속 남는 아쉬움이 있었습니다
1,빨간색 치마랑 같이 코디하려고 빨강 때문에 산 건데 빨강이 없네요
1,개 해 구매했는데 개는 왔네요 그리고 제거 외장하드는 호환이 안돼요 불은 들어오는 실행 안돼요 그래서 지인한테 구해서 연결하니 잘 됨 이건 참 너무하네 반품하려다 그냥 휴지통에 버림
1,싼 거라 그런지 금방 보풀 일어나고 안 좋아요 매일 입은 것도 아니고 가끔 한 번씩 입었는데도 그러네요 겨울만 입고 버리려고 산 건데 이건 한 달도 안 가요ㅜ
1,무용지물 언도 아깝다는
1,광택만 내주고 폴리싱은 전혀 안되는 거 같네요
1,울트라에 정전식 펜 좀 쓰려고 했는데 손가락보다도 못하네요 근래 최악 픽 차라리 팁을 좀 날렵한 스펀지 계열이 훨씬 좋을 듯하네요 기존 나오는 둥그런 거 다양화해서 펜은 쓸만해요
1,냄새나고 표면 거칠거칠합니다
1,배송일정 최악이네요
1,우유 다 세요 우유 다 흘러서 애가 들고 마실 수가 없어요
1,재구매 항상 잘 왔는데 이번에는 위에 가 찢겨서 왔네요
1,재구매 다 좋은데 배송에 다소 문제가 있어요
1,ㅏ 처음에 후기 좋게 썼는데 일주일 만에 흠집 작렬에 뒤에 다 벗겨지고 ㅠㅠㅠ 한 달도 못 쓰고 버렸어요 돈 버림
1,ㅜㅜ장착하긴 했는데 ㅜㅜㅜ
1,고무냄새가 많이 나고 아가들이 전혀 관심을 절대 안 가짐
1,재구매 일딴 잘 떨어집니다 그리고 내구력이 약하다 보니깐 운정하고 어느 순간 보시면 도어 가드 몰딩이 떨어져 있는 걸 확인할 수 있을 거예요 크롬이라서 이쁘긴 하지만 굴곡에서는 끼워지지도 않고 구부러진다는 한 달 그냥 쓰다가 버리고 다른 제품으로 샀어요
1,앞바퀴 밸런스가 맞지 않아 문의했는데 답도 없고 결국 자전거 본사로 연결했더니 조립 탓만 하네요 조립 별거 없고 남편이 이쪽 경험이 있는데도 왈가왈부하기 싫어서 자전거 받으러 갔고 그거 튜닝해주면서 만원 들었네요 조립으로 구매하세요
1,흠 보정이 안되는 거 같아요 한 사이즈 작은 걸 시킬 걸 그랬나 봐요 ㅠㅠ 그냥 스판 민소매 정도
1,플라스틱에서 고약한 냄새가 진동합니다 모양은 좋네요
1,분사노즐이 이상한 거 같음
1,상품정보를 착각해서 구매했어요
1,재구매 상품 하자 있는 고와서 죄송하다고 거치대 주신댔는데 보내주지도 않고 연락도 씹으시네요
1,안 좋아요 각질도 오히려 심해졌어요
1,상품 판매 이후 차후 서비스까지 판매하시는 만큼 신경 써주시길 바랍니다
1,상품평이 너무 좋아서 구매를 했는데 글쎄요 마트에서 구입한 것보다 좀 구수한 맛이 있지만 이걸 마시고 나면 항상 배가 아파요 돈이 아까워서 여러 번 시도를 했는데 마시고 나면 밴 상태가 안 좋아서 그냥 놔두고 있어요
1,사이드 안 맞아서 안 신어요
1,알레르기 케어라고 했는데 저희 아들도 저도 재채기하거나 비염 증상 와서 세탁 살균 건조기 다해봤는데 못 덮는 중이요
1,매우 딱딱해요 좀 더 물렁한 것도 있던데 이건 아니에요
1,상의는 맞는데 하의가 커요 무진장
1,아주 좋네요 추천할게요
1,ㅎ옹어워태ㅓㅌㅎ옽ㅌㅎ툐텅호웅홍ㅇ허엉ㅎ
1,너무 부실해요 안다가 넘어질 것 같이요 모양만의 자네요
1,재구매 흐음 두 번째 시킨 건데 하나가 맛뱅이가 가서 왔네요 다른 거 먹어도 되는 건가 싶은데
1,충전 케이블 없는 충전기네요 명확하게 설명되어있는데 제가 놓친 건지 초심을 잃지 마시길
1,세대 충전기인 줄 알고 시켰는데 아니네요 한국에서는 세대로 사야 된다고 하네요 최저가 찾다가 확인 못하도 구매한 제 잘못이지만
1,촬영하려고 걸어두었는데 툭 분리되고 색상도 맘에 안 드네요 한 달 후기는 사용 후에
1,하늘다람쥐는 잘 사용하지 않네요ㅜㅠ
1,사진에 있는 개수 다 주는 줄 알았는데 개 가격이었네요 전 몰랐네요
1,배송과 제품 문제로 별 두 개 감점 일단 제품 상태가 심각합니다 박스는 여기저기 터지고 테이프도 뜯어 저 있고 누가 사용했는지 갈린 자국이 심하고 녹은 말할 것도 없고 반품하려다가 그냥 사용합니다 만 원이 싼 거는 아닌데
1,허리 지지대가 차라리 없었으면 나았을 듯
1,기장도 맘에 안 들고요 목선도 너무받트구요 품도 너무 타이트하고요 모든 게 다 별로 산 것을 후회했네요 역시 사진으로만 보고 사는 게 아니었어요
1,저렴한 중국산 제품에 부품을 쉽게 구할 수 있어 좋습니다만 미세먼지 땜에 계속 중국산 쓸 수가 없을 것 같아요
1,애들 방에 해줬는데 소음이 너무 심해요 엄청난데요 물 흐르는 소리는 참는다 해도 너무 시끄러워요 항상 바빠서 신경 안 쓰다가 애들 방에서 누웠는데 소리 장난 아니네요 판매자분도 이거 방 안에서 사용 가능하신가요
1,너 무 뻑뻑해서 손톱 다듬기 힘듭니다 후회됨
1,고추씨가 그대로 들어있어 먹기 매우 불편함
1,일차쯤 와이파이 속도가 극도로 줄어서 카톡도 안 보내질 정도로 느려져서 남은 일 동안 사용 못 했습니다
1,리빙박스에서 냄새가 너무 심하게 나요 집에서도 나서 머리 아픔
1,왜 이러죠 교환해주세요
1,바빠서 박스 포장 사진을 못 찍었는데 테이프 제대로 아 발려서 박스가 거의 개봉된 상태로 도착 당시 아이스 백은 다 녹아있고 좋은 상품 기대하며 오래 기다렸고 비싼 제품 일부러 구매했는데 대실망입니다
1,한번 뽑을 때 세장은 기본으로 뽑힘
1,헤라 사이즈도 잘못 배송되었고 또 하나는 끝부분이 파손된 상태로 배송되었네요 사이즈나 끝부분은 작업할 때 꼭 필요해서 선택한 건데 아쉽네요 ㅠㅠ
1,재구매 커클랜드 요구르트 좋아하는데 이번 꼬는 알갱이가 엄청 나와요 식감도 소름 돋고 그릭 요구르트가 아니라 그냥 요거 튼 것 같아요
1,아쉽네요 너무나 기다리고 기다렸는데 설치하려니 창문 틀에 굴곡이 약간 있니 자꾸 빠져서 사용하지 못하네요 ㅠ
1,설치하려고 했으나 실패했네요 제 차에는 설치가 안돼요 맞질안네요반품할까하다가 휴지통에 버렸어요
1,깜짝 놀랐어요 어찌나 거친 지 시원하기는커녕 등에 상처가 났어요
1,하지 지금 확인했는데 나머지 두 개는 정상적으로 왔는데 하나는 바락 식혜 시켰는데 컨피던스 왔어요 당연히 식혜 왔을 줄 알고 며칠 확인 안 하고 있다가 지금 봤는데 일단 그냥 먹긴 하겠는데 다음부터 확인 잘해서보내주세요ㅡㅡ
1,손등형인데 왜 엄지손가락 나가는 구멍이 없죠
1,최악 배송 일 걸림 해외배송도 아니고 휴일 하루 끼어있었는데 이것보다 늦게 주문한 상품도 다 왔는데 겁나 느리고 포장도 개판 다 찢어지고 뜯어 저서 옴 최악
1,너무 불편해서 사용 안 함
1,배송 요청 시간 시간분 지나서 받는 분이 사진 전송해줬네요 그냥 문자 안 보내도 됩니다 그리고 금전수 식물이 부실하네요
1,차량의 어디에도 끼울 수가 없네요
1,단 케이크 개 들어간다고 해서 딱 그만큼만 현금 바꿨는데 촘촘하게 한 것도 아닌데ㅜㅜ개 들어가서 또 바꾸러 가고 바빴네요 문구가 잘못 왔어요 이미 글씨반 거라 교환도 안 될 거고 미 치긋네요 ㅡㅡ
1,한쪽이 자꾸 떨어집니다
1,휴포장상태엉망ㅇㄱ너
1,조리원 나오고 지금은 주차인데 단계 사이즈가 딱 맞네요 무난하게 쓰기 좋고 찍찍이 정말 강하네요ㅎ
1,밀착이 되지 않아 서류가 잘 빠집니다
1,고장 났음 몇 번 쓰지도 않았는데 베터 리그 충전 중이면 무선 충전소ㅓ 케이블 충전이 작동 하나 고장 나서 무선 충전 유선 충전 둘 다 동작이 안 함 가격에 싸면 이유 그 있는 듯
1,우선 재질도 튼튼해 보이지 않으며 제일 문제는 각도가 제대로 꺾이지 않아 여러모로 불편하고 폰 거치부분의 폭이 좁아 케이스 끼고는 넣을 수가 없어서 도로 달리다가 던져버리고 싶었음
1,좋아지는지 솔직히 잘 모르겠네요 암튼 효과 없습니다
1,양쪽 뼈대에 볼트 넣는 구멍이 서로 다름 환불하려다가 말았음 불량이 올 줄 상상도 못함
1,효과 하나도 없음 사기입니다
1,냄새가 너무 이상하고 펌프 하면 너무 확 나와서 액체가 땅에 떨어지네요
1,죽어서 왔었어요 ㅠ
1,싼 게 비지떡 배송도 느리고 첫날부터 보푸라기 일어나고 재구매 절대 안 할듯하네요
1,뚜껑이 안 열려요ㅜㅜ
1,재구매 저 웬만하면 안 쓰려고 했는데 몇 번 주문하고 괜찮아서 또 주문했는데 이번 건 최악이네요 진짜 멍든 것도 두세 개 있고 속이 저런 것도 몇 개 더 있어요 분의 은 버린 것 같아요 마트에서 다시 사 와서 청 담았네요
1,싸서 그런지 진짜 후지고 매트도 딱딱하고 배송도 거칠고 진짜 배송기사 제 것 아니라고 대충 막 하던데요 다신 동서가구 안사 시몬스 살걸 줮나 후회함
1,포장은 잘되어 있더라고요 깨진 계란 하나도 없고 근데 알아 너무 작네요 일반 계란이랑 비교했는데 너무 조그매서 메추리알 같네요 진짜 왜 이렇게 알이 작나요 진짜 산거 후회해요
1,재구매 배송 완전 꽝입니다 매번 깨져서 오네요
1,프라이머 도포 후 도색하는데 차 도색 후 마스킹 테이프를 떼어내자 마스킹 테이프에 다 붙어서 도색이 떨어져 나오네요 깔끔하게 떨어져 나오는 것도 아니고 표면이 지저분하게 떨어져 나왔습니다
1,재구매 아이스박스에 핫팩 하나 안 들어있고 죽은 아이들 보니 속상하고 기분 나쁘네요 반이 죽고 괴사가 진행돼서 반쪽 없는 아이들이 많아요 기분 나쁘네요 ㅜㅜ
1,필기하기 불편합니다
1,폭이 좁은 데다 단으로 하니까 하중도 못 버티고 휘고 바퀴 빠지고 쓰러지고 난리 났네요 구석에 박아뒀어요 가로폭을 좀 넓히시고 마감에 대해서 신경 좀 쓰셔야겠어요
1,냄새가 정말 아저씨 향수보다도 못한 냄새임 한번 쓰고 버림
1,잘 집히지도 않고 별로예요
1,야채다 상하고 짓물러져 있고 과메기에 비린내가 나는 건 알지만 그 정도로 심하게 날줄은 정말 상상을 못했네요 제 것만 그랬던 건지 몰라도 저는 진짜 최악이었습니다
1,리어 쪽에 장착 안됩니다
1,빠른 배송에 감사드리지만 제품 두께가 두꺼워서 핀 이 바닥 코너에 붙여지지 않아 매끄럽지 않게 시공되지 않네요
1,배송 와서 세척하는데 사진상처럼 하자 있네요 안 닦여요 다른 물건은 다 좋아요
1,사서 시험 중에 고장 났어요 리모컨도 안되고 구입해서 얌전히 한 가지 모드로 사용하면 고장 안 나려나 제대로 만들어 가격을 올리던지ㅡ돈 아까워요
1,휴아후아후아휴나휴아
1,마늘맛밖에 안나요ㅠㅜ
1,냄새가 너무 심해서 아직도 냄새 빼는 중
1,색상 질이 형편없이 떨어집니다 신경을 좀 더 써 주세요
1,배송 최악 너무 늦게 옴 공지 제대로 없음
1,오버핏너무 헐렁합니다
1,내용물이 곱게 분사되지를 않네요 ㅠㅠ
1,재구매 키튼을 시켰는데 어덜트 인도어가 왔어요 시켜봤던 때라 확인도 안 하고 뜯어서 사료 통어 부어버려서 하ㅜ
1,디자인은 예쁜데 시간 입고 입수도 안 함 바로 끈이 떨어졌네요
1,유통기간이 안 나와있어요 맛은 있지만 제가 생각했던 맛은 아니네요ㅠ 예전에 오프라인에서 먹던 노니 과자는 노니 맛이 짙어서 손이 계속 가고 맛있었던 기억에 그 맛 생각하고 구입했습니다 근데 노니 맛이 너무 적은 것 같고 노니 색만 있는 과자 같아요
1,주문과 다른 스티커가 왔네요 이 점만 조심해주시면 다른 건 다 만족합니다
1,모든 소상공인이 행복해지는 그날까지 제품은 별로네요
1,너비는 잘 맞는데 길이가 너무너무 길어요
1,배송은 빨랐으나 옷걸이 하나하나 다 검은 이물질이 묻어있어서 물티슈로 하나하나 다 닦아서 꺼냈습니다 먼지가 아니라 한번 들면 손에 묻고 처음에 모르고 화이트 새 행거에 걸었을 때 검은색으로 물었었어요
1,사이즈가 센티 차이 나서 왔어요 번거로워 반품 안 합니다 사이즈 재단이 주 서비스 실 텐데 당황스럽네요
1,접착력이 너무 부족합니다
1,색상 전혀 다름 앞이 안 보임
1,제품은 좋았는데 정말 배송이 안 와요 화날 정도로 요 주문 누락돼서 안 왔다는 건 실수도 할 수 있으니까 이해할 순 있는데 며칠을 안 왔는데 확인 안 했다는 건 좀 그래요
1,저렴한 거 사서 기대 안 하긴 했지만 딱딱 아귀가 맞지 않아서 조립하면 부속이 스스로 튕겨서 계속 부서집니다
1,가나 다 라 마 바 사 아자 타카
1,주문자랑 상의도 없이 배송비 착불로 보내고 연락 안 주시고 빨리 보내주려고 했다고 하지만 빠른 배송도 아니고 주문 일만에 도착함 공휴일 빼면 일만에 도착했습니다
1,판매 사진은 박음질 잘 돼서 쭈글추글안하네요 짜증 나고 돈이 아까워요 ㅈ쫌제되로펴서박아야죠반품귀찮아그냥씁니다 이 쭈글 이릉 왜 샀냐고 보는 사람마다 입데네요
1,배송 정말 늦음 주문 상품과 착오 배송 재질은 그냥 그럼
1,괜히 산 듯 흰옷 얇은 옷 착용 시다 비추고 별로 사용하지 않았네요 여름 옷은 다 비쳐요
1,프 라켓이랑 등 연결하는 부위 구멍이 너무 커서 제대로 고정이 안되고 너무헐허렁해서 좀 불안불안하네요
1,시간 만에 뜯어졌어요ㅠ
1,주문한 색상이랑 다른 색이 온 거 빼곤 괜찮아요
1,날파리가 왜 하나도 안 잡힐까요 이상합니다
1,제품 받았을 때 완전히 해동된 상태로 받았습니다 당일에 구워 먹었더니 냄새가 냄새가 아휴 한 팩 남아서 냉동에 얼려두긴 했는데 버려야 하나 고민 중이네요
1,재구매 아오 많이 시켜도 작은 아이스팩 하나 들어있네요
1,배송은 마음에 듭니다만 상품은 냄새 어쩔 거예요 별의별 짓을 다해도 냄새가 안 빠짐 토하겠음 ㅜㅜ
1,서랍물을 열면 통째로 따라와요ㅋ 퍽퍽해서인지 가벼워서인지 ㅋ 문 열 때 양손에 발까지 사용해요
1,낮은 굽을 신었는데도 발 쏠림 현상이 심했네요 저는
1,아주 냄새가 많이 나네요 저는 추천 안 합니다 물로 씻어도 빛에 말려도 소용없네요
1,다 좋은데 일본 브랜드임 ㅠㅠ
1,액상이 많이 나오네요
1,회 영입니다 너무 허접
1,밑에 가 션찮아요 싼 맛에 쓸라 합니다
1,전동 귀 후비게는 귀속에 충격만 오고 내시경은 보이지도 않네요 귀속이 작아서 그런가 속은 아예 보이지도 않아요 정말 실망했습니다
1,쓰지 마세요
1,해상도가 낮음 추천하지 않음
1,사이즈 잘 보고 선택 잘하셔야 해요 청소하기는 힘듭니다
1,설명이 잘안되잇어 잘못 샀네요
1,그냥 그래요 ㅎㅎ구냥그냥
1,사용감이 좋지 않아서 별로인 것 같아요
1,제대로 된 상품 보내주세요 귀찮아서 반품은 안 합니다
1,알 안에 펭귄이 있어서 애들이 좋아는 하는데 펭귄이 나왔다가 들어갈 때 옆에 걸려서 잘 안 들어갈 때가 많음 비추
1,제가 웬만하면 별점 개 주는데 이거는 좀 ㅠㅠ 사진이라 색감이 실물이랑 다를 거라 감안해도 너무 다르네요 그리고 생각보다 많이 흐물거려서 착 붙는 느낌이 적어요 천 원이면 딱 맞을 가격이에요
1,신발에 붙질 않아요
1,아직 미사용 중이라 써보고 다시 리뷰 올리겠습니다 좋을 거 같아요
1,다 별로입니다 비싸요
1,재구매 의사 없음 번 빠니 다 늘어남
1,패치 모양이 다르네요 물방울 모양일 줄 알았는데 열어보니 이게 뭔가요 눈과 모양이 잘 맞지 않아서 패치가 자꾸 눈에 들어가네요 불편하고 불쾌하네요 속은 기분 뜯은 거고 저렴하니 반품 안 해요 그냥 버릴래요
1,원도 아까워요
1,배송은 빨랐어요 생각했던 것보다 좀 싼 티가 나긴 하는데 더 아쉬운 건 날에 흠집도 있네요 기분이 참 별로네요
